Date,Cases,Recovered,Deaths,,,,,
"Nov 17, 2020",16,4,1,,,,,
"Nov 18, 2020",36,79,0,,,,,
"Nov 19, 2020",29,50,0,,,,,
"Nov 20, 2020",14,22,0,,,,,
"Nov 21, 2020",34,4,0,,,,,
"Nov 22, 2020",45,1,1,,,,,
"Nov 23, 2020",61,33,0,,,,,
"Nov 24, 2020",24,44,0,,,,,
"Nov 25, 2020",29,76,0,,,,,
"Nov 26, 2020",72,28,0,,,,,
"Nov 27, 2020",21,52,0,,,,,
"Nov 28, 2020",19,83,0,,,,,
"Nov 29, 2020",28,0,1,,,,,
"Nov 30, 2020",15,36,1,,,,,
"Dec 1, 2020",14,28,0,,,,,
"Dec 2, 2020",46,31,1,,,,,
"Dec 3, 2020",17,21,0,,"Dec 11, 2020",79,37,1
"Dec 4, 2020",32,76,1,,"Dec 12, 2020",10,66,2
"Dec 5, 2020",41,24,0,,"Dec 13, 2020",131,63,0
"Dec 6, 2020",45,0,0,,"Dec 14, 2020",88,41,0
"Dec 7, 2020",62,0,0,,"Dec 15, 2020",85,40,1
"Dec 8, 2020",46,19,0,,,,,
"Dec 9, 2020",41,0,2,,,,,
"Dec 10, 2020",71,74,0,,,,,
"Dec 11, 2020",79,37,1,,,,,
"Dec 12, 2020",100,66,2,,,,,
"Dec 13, 2020",131,63,0,,,,,
"Dec 14, 2020",88,41,0,,,,,
"Dec 15, 2020",85,40,1,,,,,
"Dec 16, 2020",122,21,0,,,,,
"Dec 17, 2020",78,32,0,,,,,
"Dec 18, 2020",73,0,0,,,,,
"Dec 19, 2020",127,0,2,,,,,
"Dec 20, 2020",61,2,4,,,,,
"Dec 21, 2020",109,9,2,,,,,
"Dec 22, 2020",109,63,1,,,,,
"Dec 23, 2020",87,0,0,,,,,
"Dec 24, 2020",72,40,3,,,,,
"Dec 25, 2020",73,0,0,,,,,
"Dec 26, 2020",74,24,3,,,,,
"Dec 27, 2020",153,62,2,,,,,
"Dec 28, 2020",51,50,1,,,,,
"Dec 29, 2020",107,0,4,,,,,
"Dec 30, 2020",122,30,7,,,,,
"Dec 31, 2020",133,173,6,,,,,
"Jan 1, 2021",77,56,2,,,,,
"Jan 2, 2021",107,87,4,,,,,
"Jan 3, 2021",109,67,3,,,,,
"Jan 4, 2021",172,64,4,,,,,
"Jan 5, 2021",107,62,5,,,,,
"Jan 6, 2021",103,62,2,,,,,
"Jan 7, 2021",167,0,1,,,,,
"Jan 8, 2021",143,0,2,,,,,
"Jan 9, 2021",93,16,3,,,,,
"Jan 10, 2021",169,18,2,,,,,
"Jan 11, 2021",154,0,4,,,,,
"Jan 12, 2021",166,0,1,,,,,
"Jan 13, 2021",172,0,3,,,,,
"Jan 14, 2021",194,0,5,,,,,
"Jan 15, 2021",257,54,5,,,,,
"Jan 16, 2021",277,165,2,,,,,
"Jan 17, 2021",182,170,2,,,,,
"Jan 18, 2021",227,49,4,,,,,
"Jan 19, 2021",289,168,2,,,,,
"Jan 20, 2021",312,232,5,,,,,
"Jan 21, 2021",310,161,9,,,,,
"Jan 22, 2021",273,211,3,,,,,
"Jan 23, 2021",204,135,7,,,,,
"Jan 24, 2021",328,101,2,,,,,
"Jan 25, 2021",336,261,3,,,,,
"Jan 26, 2021",574,180,4,,,,,
"Jan 27, 2021",281,181,2,,,,,
"Jan 28, 2021",363,192,3,,,,,
"Jan 29, 2021",255,285,2,,,,,
"Jan 30, 2021",334,285,5,,,,,
"Jan 31, 2021",186,283,3,,,,,
"Feb 1, 2021",155,185,2,,,,,
"Feb 2, 2021",229,473,7,,,,,
"Feb 3, 2021",146,218,3,,,,,
"Feb 4, 2021",154,389,2,,,,,
"Feb 5, 2021",198,265,3,,,,,
"Feb 6, 2021",151,430,4,,,,,
"Feb 7, 2021",114,295,3,,,,,
"Feb 8, 2021",170,287,3,,,,,
"Feb 9, 2021",190,359,3,,,,,
"Feb 10, 2021",130,401,3,,,,,
"Feb 11, 2021",127,289,2,,,,,
"Feb 12, 2021",132,259,5,,,,,
"Feb 13, 2021",67,540,0,,,,,
"Feb 14, 2021",76,315,3,,,,,
"Feb 15, 2021",141,333,0,,,,,
"Feb 16, 2021",110,350,1,,,,,
"Feb 17, 2021",122,443,3,,,,,
"Feb 18, 2021",119,245,0,,,,,
"Feb 19, 2021",94,224,2,,,,,
"Feb 20, 2021",59,210,2,,,,,
"Feb 21, 2021",65,206,2,,,,,
"Feb 22, 2021",146,189,3,,,,,
"Feb 23, 2021",126,259,1,,,,,
"Feb 24, 2021",118,13,1,,,,,
"Feb 25, 2021",110,15,4,,"Mar 4, 2021",146,113,1
"Feb 26, 2021",136,23,0,,"Mar 5, 2021",92,69,1
"Feb 27, 2021",101,5,3,,"Mar 6, 2021",83,59,0
"Feb 28, 2021",60,6,0,,"Mar 7, 2021",42,40,1
"Mar 1, 2021",136,9,3,,,,,
"Mar 2, 2021",125,150,1,,,,,
"Mar 3, 2021",87,97,0,19198,17569,265,,
"Mar 4, 2021",136,113,1,19334,17682,266,146/19344vs19334,
"Mar 5, 2021",92,69,1,19426,17751,267,,
"Mar 6, 2021",83,59,0,19509,17810,267,,
"Mar 7, 2021",42,30,1,19551,17840,268,40/17850vs17840,
"Mar 8, 2021",108,71,0,19659,17911,268,,
"Mar 9, 2021",120,122,2,19779,18033,270,,
"Mar 10, 2021",67,85,1,19846,18118,271,,
"Mar 11, 2021",99,118,2,19945,18236,273,,
"Mar 12, 2021",112,125,2,20057,18361,275,,
"Mar 13, 2021",86,139,1,20143,18500,276,,
"Mar 14, 2021",43,66,4,20186,18566,280,,
"Mar 15, 2021",116,69,2,20302,18635,282,,
"Mar 16, 2021",110,169,0,20412,18804,282,,
"Mar 17, 2021",68,102,1,20480,18906,283,,
"Mar 18, 2021",71,101,1,20551,19007,284,,
"Mar 19, 2021",130,136,3,20681,19143,287,,
"Mar 20, 2021",80,20,0,20761,19163,287,,
"Mar 21, 2021",67,17,3,20828,19180,290,,
"Mar 22, 2021",68,34,2,,,,,
"Mar 23, 2021",79,96,3,,,,,
"Mar 24, 2021",131,131,2,,,,,
"Mar 25, 2021",104,99,1,,,,,
"Mar 26, 2021",99,117,2,,,,,
"Mar 27, 2021",61,84,1,,,,,
"Mar 28, 2021",49,44,0,,,,,
"Mar 29, 2021",71,75,4,,,,,
"Mar 30, 2021",155,141,1,,,,,
"Mar 31, 2021",138,181,1,,,,,
"Apr 1, 2021",135,126,1,,,,,
"Apr 2, 2021",249,90,2,,,,,
"Apr 3, 2021",76,74,1,,,,,
"Apr 4, 2021",239,47,0,,,,,
"Apr 5, 2021",202,75,0,,,,,
"Apr 6, 2021",178,111,3,,,,,
"Apr 7, 2021",179,130,0,,,,,
"Apr 8, 2021",111,35,0,,,,,
"Apr 9, 2021",108,121,0,,,,,
"Apr 10, 2021",83,81,0,,,,,
"Apr 11, 2021",83,171,1,,,,,
"Apr 12, 2021",109,29,1,,,,,
"Apr 13, 2021",68,123,0,,,,,
"Apr 14, 2021",69,199,1,,,,,
"Apr 15, 2021",72,211,4,,,,,
"Apr 16, 2021",68,210,1,,,,,
"Apr 17, 2021",54,67,0,,,,,
"Apr 18, 2021",22,159,3,,,,,
"Apr 19, 2021",46,167,1,,,,,
"Apr 20, 2021",71,152,1,,,,,
"Apr 21, 2021",107,19,0,,,,,
"Apr 22, 2021",150,70,1,,,,,
"Apr 23, 2021",197,47,0,,,,,
"Apr 24, 2021",76,170,0,,,,,
"Apr 25, 2021",58,75,2,,,,,
"Apr 26, 2021",84,64,0,,,,,
"Apr 27, 2021",137,84,1,,,,,
"Apr 28, 2021",74,86,1,,,,,
"Apr 29, 2021",107,31,1,,,,,
"Apr 30, 2021",121,28,2,,,,,
"May 1, 2021",109,111,0,,,,,
"May 2, 2021",28,97,2,,,,,
"May 3, 2021",58,71,0,,,,,
"May 4, 2021",40,10,0,,,,,
"May 5, 2021",70,187,1,,,,,
"May 6, 2021",65,166,0,,,,,
"May 7, 2021",53,174,0,,,,,
"May 8, 2021",47,69,0,,,,,
"May 9, 2021",66,34,0,,,,,
"May 10, 2021",62,2,0,,,,,
"May 11, 2021",59,178,2,,,,,
"May 12, 2021",73,78,0,,,,,
"May 13, 2021",88,75,2,,,,,
"May 14, 2021",99,106,1,,,,,
"May 15, 2021",66,102,0,,,,,
"May 16, 2021",42,70,1,,,,,
"May 17, 2021",74,0,1,,,,,
"May 18, 2021",129,44,1,,,,,
"May 19, 2021",80,0,2,,,,,
"May 20, 2021",105,76,1,,,,,
"May 21, 2021",72,83,0,,,,,
"May 22, 2021",57,53,0,,,,,
"May 23, 2021",30,77,0,,,,,
"May 24, 2021",42,47,0,,,,,
"May 25, 2021",50,139,0,,,,,
"May 26, 2021",37,86,1,,,,,
"May 27, 2021",26,84,1,,,,,
"May 28, 2021",35,89,1,,,,,
"May 29, 2021",14,60,0,,,,,
"May 30, 2021",26,7,0,,,,,
"May 31, 2021",45,74,1,,,,,
"Jun 1, 2021",60,167,4,,,,,
"Jun 2, 2021",41,98,1,,,,,
"Jun 3, 2021",55,80,0,,,,,
"Jun 4, 2021",43,101,1,,,,,
"Jun 5, 2021",49,42,0,,,,,
"Jun 6, 2021",34,54,1,,,,,
"Jun 7, 2021",62,29,0,,,,,
"Jun 8, 2021",127,23,4,,,,,
"Jun 9, 2021",114,64,1,,,,,
"Jun 10, 2021",112,0,1,,,,,
"Jun 11, 2021",202,0,2,,,,,
"Jun 12, 2021",284,0,2,,,,,
"Jun 13, 2021",227,0,0,,,,,
"Jun 14, 2021",241,42,2,,,,,
"Jun 15, 2021",298,0,0,,,,,
"Jun 16, 2021",263,0,4,,,,,
